countrycode,country,currency_unit,year,rgdpe,rgdpo,pop,emp,avh,hc,ccon,cda,cgdpe,cgdpo,cn,ck,ctfp,cwtfp,rgdpna,rconna,rdana,rnna,rkna,rtfpna,rwtfpna,labsh,irr,delta,xr,pl_con,pl_da,pl_gdpo,i_cig,i_xm,i_xr,i_outlier,i_irr,cor_exp,statcap,csh_c,csh_i,csh_g,csh_x,csh_m,csh_r,pl_c,pl_i,pl_g,pl_x,pl_m,pl_n,pl_k
GBR,United Kingdom,Pound Sterling,1950,499091,523645,50,23,"2,184",2,468524,543967,489860,503021,1330191,,,,609157,490513,574460,1619238,,,,1,0,0,0,0,0,0,Extrapolated,Extrapolated,Market-based,Regular,Outlier,,,1,0,0,0,0,0,0,0,0,0,0,0,
GBR,United Kingdom,Pound Sterling,1951,506362,540520,50,24,"2,193",2,471050,578319,499639,518355,1419656,,,,635156,492840,605507,1728061,,,,1,0,0,0,0,0,0,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,1,0,0,0,0,0,0,0,0,0,0,0,
GBR,United Kingdom,Pound Sterling,1952,512638,538869,50,24,"2,161",2,475409,566071,508423,520745,1476983,,,,640130,494954,589487,1795796,,,,1,0,0,0,0,0,0,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,1,0,0,0,0,0,0,0,0,0,0,0,
GBR,United Kingdom,Pound Sterling,1953,543160,566293,51,24,"2,165",2,497975,600233,539571,550405,1545315,,,,669659,516972,624006,1878176,,,,1,0,0,0,0,0,0,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,1,0,0,0,0,0,0,0,0,0,0,0,
GBR,United Kingdom,Pound Sterling,1954,563551,587977,51,24,"2,169",2,513206,620094,558228,570293,1615829,0,1,1,689563,533869,646708,1962946,0,1,1,1,0,0,0,0,0,0,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,1,0,0,0,0,0,0,0,0,0,0,0,1
GBR,United Kingdom,Pound Sterling,1955,585641,611782,51,24,"2,167",2,529661,649669,578483,588935,1702176,0,1,1,709619,552200,679712,2065067,0,1,1,1,0,0,0,0,0,0,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,1,0,0,0,0,0,0,0,0,0,0,0,1
GBR,United Kingdom,Pound Sterling,1956,601808,624797,51,24,"2,154",2,528826,653581,592272,599575,1784444,0,1,1,716727,555784,686150,2163178,0,1,1,1,0,0,0,0,0,0,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,1,0,0,0,0,0,0,0,0,0,0,0,1
GBR,United Kingdom,Pound Sterling,1957,613595,637094,51,24,"2,132",3,533868,666447,603895,609784,1867226,0,1,1,725624,562632,699604,2263838,0,1,1,1,0,0,0,0,0,0,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,1,0,0,0,0,0,0,0,0,0,0,0,1
GBR,United Kingdom,Pound Sterling,1958,620490,639945,52,24,"2,102",3,542992,672924,611599,615616,1936081,0,1,1,727962,572921,706340,2349770,0,1,1,1,0,0,0,0,0,0,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,1,0,0,0,0,0,0,0,0,0,0,0,1
GBR,United Kingdom,Pound Sterling,1959,642533,662078,52,24,"2,112",3,554198,698148,630232,634981,2017196,0,1,1,750904,589667,735214,2449120,0,1,1,1,0,0,0,0,0,0,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,1,0,0,0,0,0,0,0,0,0,0,0,1
GBR,United Kingdom,Pound Sterling,1960,672852,694652,52,24,"2,104",3,579612,744619,663360,657586,2116586,0,1,1,782240,610084,778653,2580788,0,1,1,1,0,0,0,0,0,0,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,1,0,0,0,0,0,0,0,0,0,0,0,1
GBR,United Kingdom,Pound Sterling,1961,691274,712288,53,24,"2,067",3,593125,757337,682126,676165,2220715,0,1,1,799092,616090,790802,2712983,0,1,1,1,0,0,0,0,0,0,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,1,0,0,0,0,0,0,0,0,0,0,0,1
GBR,United Kingdom,Pound Sterling,1962,702066,721435,53,25,"2,029",3,611289,765830,691715,689228,2309218,0,1,1,813156,632090,801387,2826336,0,1,1,1,0,0,0,0,0,0,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,1,0,0,0,0,0,0,0,0,0,0,0,1
GBR,United Kingdom,Pound Sterling,1963,728128,749406,54,25,"2,021",3,631987,794258,715871,716702,2402670,0,1,1,844607,656633,832761,2945149,0,1,1,1,0,0,0,0,0,0,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,1,0,0,0,0,0,0,0,0,0,0,0,1
